Ime_dat,MD,PRP$,VBG,RB,NN,VBD,CC,PDT,JJS,VB,VBN,TO,VBP,WDT,EX,JJ,IN,VBZ,DT,NNS,PRP,Flesch,Kincaid
14.txt,4.0,15.0,11.0,17.0,51.0,1.0,8.0,0,1.0,11.0,3.0,8.0,10.0,1.0,1.0,23.0,27.0,9.0,17.0,13.0,5.0,72.6034946237,8.26677419355
15.txt,10.0,15.0,9.0,24.0,71.0,5.0,16.0,0,0,31.0,7.0,19.0,27.0,5.0,0,32.0,53.0,15.0,28.0,13.0,17.0,78.4837093496,6.55640243902
16.txt,3.0,4.0,4.0,7.0,25.0,2.0,5.0,1.0,0,8.0,3.0,3.0,10.0,0,0,12.0,16.0,3.0,13.0,4.0,14.0,92.5007847708,4.30456876457
17.txt,4.0,12.0,8.0,45.0,81.0,42.0,14.0,2.0,0,30.0,10.0,13.0,22.0,2.0,0,40.0,56.0,8.0,33.0,12.0,42.0,84.2204822897,3.92834440228
18.txt,3.0,4.0,2.0,3.0,30.0,0,10.0,0,2.0,11.0,1.0,3.0,8.0,0,0,8.0,10.0,1.0,11.0,7.0,9.0,62.5429569892,14.8041935484
19.txt,2.0,2.0,4.0,10.0,26.0,1.0,1.0,0,0,8.0,4.0,2.0,12.0,1.0,0,11.0,19.0,3.0,13.0,8.0,5.0,79.1126981352,8.14555944056
