Ime_dat,MD,PRP$,VBG,RB,NN,VBD,CC,PDT,JJS,VB,VBN,TO,VBP,WDT,EX,JJ,IN,VBZ,DT,NNS,PRP,Flesch,Kincaid,Num_words,Num_signs,Num_chars,Num_sentence
4.txt,0,4.0,2.0,3.0,15.0,0,3.0,0,0,4.0,1.0,3.0,4.0,0,1.0,6.0,5.0,2.0,10.0,4.0,1.0,65.6371568627,9.73529411765,68,75,275,3
40.txt,1.0,1.0,0,10.0,6.0,2.0,6.0,0,1.0,7.0,4.0,4.0,4.0,0,0,8.0,5.0,3.0,5.0,2.0,2.0,73.2861384977,5.97711267606,71,78,293,6
41.txt,4.0,3.0,2.0,3.0,18.0,2.0,3.0,0,0,6.0,2.0,0,5.0,0,1.0,9.0,9.0,4.0,9.0,6.0,5.0,95.3016363636,4.88553535354,99,114,395,6
42.txt,1.0,1.0,0,0,4.0,0,0,0,0,4.0,1.0,1.0,1.0,0,0,2.0,2.0,0,2.0,0,1.0,100.0,0.0,21,30,80,4
43.txt,3.0,3.0,2.0,5.0,15.0,2.0,5.0,2.0,0,5.0,2.0,2.0,2.0,0,0,5.0,6.0,2.0,13.0,3.0,1.0,87.9625384615,4.86579487179,78,89,290,5
44.txt,1.0,2.0,0,2.0,1.0,0,0,0,0,2.0,0,0,1.0,0,0,1.0,3.0,0,0,0,0,96.0246153846,3.09538461538,13,15,44,1
45.txt,0,0,0,0,7.0,0,3.0,0,0,1.0,1.0,1.0,0,0,0,6.0,5.0,3.0,5.0,1.0,1.0,50.3827027027,12.0,37,39,152,1
46.txt,0,1.0,0,2.0,1.0,1.0,0,0,0,1.0,0,0,0,0,0,2.0,0,0,2.0,1.0,0,95.955,2.85666666667,12,12,40,1
47.txt,0,0,1.0,0,5.0,1.0,0,0,0,0,0,0,4.0,0,0,1.0,0,0,1.0,0,1.0,97.837,0.408,16,20,54,4
5.txt,3.0,2.0,4.0,8.0,31.0,7.0,3.0,2.0,0,9.0,8.0,5.0,4.0,0,0,15.0,20.0,4.0,13.0,7.0,5.0,85.8054977376,3.57087481146,156,190,623,17
6.txt,0,1.0,2.0,2.0,5.0,0,0,0,0,0,2.0,0,5.0,0,0,5.0,3.0,0,1.0,2.0,2.0,86.705,3.65,31,35,117,3
7.txt,4.0,1.0,0,4.0,6.0,0,2.0,0,0,5.0,1.0,0,3.0,0,0,5.0,4.0,0,4.0,3.0,1.0,90.2302727273,2.86018181818,41,46,164,5
8.txt,1.0,0,0,0,3.0,1.0,0,0,0,2.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,1.0,100.0,0.0,12,16,38,3
9.txt,1.0,2.0,0,2.0,1.0,0,0,0,0,2.0,0,0,1.0,0,0,1.0,3.0,0,0,0,0,96.0246153846,3.09538461538,13,15,44,1
